entrezgene	ensembl	symbol	abagen symbol	pass_all	num_pass	correlation	seed	score
81615	ENSG00000152128	TMEM163	TMEM163	1.0	1.0	0.49405527274623073	32.0	0.021480664032444814
84187	ENSG00000157600	TMEM164	TMEM164	1.0	5.0	0.5785869710275383	1.0	0.1257797763103344
56900	ENSG00000215717	TMEM167B	TMEM167B	0.0	0.0	0.4946878221448428	53.0	0.0
64418	ENSG00000146802	TMEM168	TMEM168	1.0	1.0	0.4557581942854956	32.0	0.019815573664586764
92691	ENSG00000163449	TMEM169	TMEM169	0.0	0.0	0.39538594890621925	32.0	0.0
200728	ENSG00000186889	TMEM17	TMEM17	1.0	10.0	0.6419870036506393	52.0	0.2791247841959301
124491	ENSG00000166822	TMEM170A	TMEM170A	1.0	6.0	0.5449944922309888	52.0	0.142172476234171
100113407	ENSG00000205269	TMEM170B	TMEM170B	1.0	1.0	0.5435565216112798	2.0	0.023632892243968685
340061	ENSG00000288243	STING1	TMEM173	1.0	8.0	0.4922414216874612	51.0	0.17121440754346476
84286	ENSG00000127419	TMEM175	TMEM175	1.0	1.0	0.4042057400752657	52.0	0.017574162611968074
55365	ENSG00000002933	TMEM176A	TMEM176A	1.0	6.0	0.5332277277216241	52.0	0.13910288549259758
28959	ENSG00000106565	TMEM176B	TMEM176B	1.0	8.0	0.5615908448109207	49.0	0.1953359460211898
130733	ENSG00000152154	TMEM178A	TMEM178A	1.0	2.0	0.5965893588172455	9.0	0.05187733554932569
100507421	ENSG00000261115	TMEM178B	TMEM178B	1.0	1.0	0.5438411067255822	2.0	0.02364526550980792
374395	ENSG00000185475	TMEM179B	TMEM179B	1.0	3.0	0.44965473620449514	55.0	0.058650617765803714
130827	ENSG00000170417	TMEM182	TMEM182	1.0	3.0	0.29486816640481034	49.0	0.03846106518323613
92703	ENSG00000163444	TMEM183A	TMEM183A	1.0	3.0	0.5469198337502492	33.0	0.07133736961959772
25829	ENSG00000198792	TMEM184B	TMEM184B	1.0	4.0	0.4735591483891461	40.0	0.08235811276332976
55751	ENSG00000164168	TMEM184C	TMEM184C	0.0	0.0	0.2304425985680119	52.0	0.0
79134	ENSG00000226479	TMEM185B	TMEM185B	1.0	3.0	0.4662583056042082	32.0	0.06081630073098368
387521	ENSG00000240849	PEDS1	TMEM189	1.0	1.0	0.31236777890716716	31.0	0.013581207778572486
55266	ENSG00000139291	TMEM19	TMEM19	1.0	2.0	0.44281815139869235	31.0	0.03850592620858194
201931	ENSG00000170088	TMEM192	TMEM192	0.0	0.0	0.25915566847829835	32.0	0.0
256130	ENSG00000173452	TMEM196	TMEM196	0.0	0.0	0.2773275321787999	32.0	0.0
130612	ENSG00000188760	TMEM198	TMEM198	1.0	5.0	0.737462025127502	41.0	0.16031783154945695
114801	ENSG00000164484	TMEM200A	TMEM200A	1.0	11.0	0.7135198577748114	31.0	0.34124862763143154
645369	ENSG00000206432	TMEM200C	TMEM200C	1.0	3.0	0.5467296020250731	33.0	0.07131255678587911
