,cPC1
CABLES1,-1.7935956922467113
CABYR,2.029816240027473
CACFD1,-7.714713997330887
CACHD1,-10.081451134414241
CACNA1B,3.933360405764657
CACNA1C,1.4600782774952568
CACNA1E,-3.766194506275931
CACNA1G,1.2353646901691429
CACNA1H,-7.670135040506485
CACNA1I,1.7816478201674484
CACNB1,3.483950486356679
CACNB2,2.83401216076489
CACNB3,7.315728736156482
CACNG3,5.431883166801514
CACNG4,-10.493688672757363
CACNG7,6.616391997005778
CACNG8,2.1554509558611663
CADM1,-8.920290217416389
CADM2,3.619784220109615
CADM3,6.816480795320415
CADPS,-1.53573447887502
CADPS2,8.505318297642695
CALB1,-4.883807935367168
CALB2,-5.766333028399978
CALCOCO2,-6.799281435428773
CALCRL,-0.3691877970810705
CALHM1,3.6341016883369477
CALHM2,4.439957722669116
CALHM6,-5.399910080814993
CALM1,6.170710116770692
CALM3,3.820382392663344
CALML3,2.9413415453303946
CALN1,-2.539598635217461
CALR,-7.110035598559569
CALU,-7.000994710001738
CAMK1,2.5932352427557634
CAMK1G,0.2933102511553679
CAMK2A,5.155248142373149
CAMK2D,-1.0681743041027172
CAMK2G,9.940253202371018
CAMK2N1,6.490282400621088
CAMK2N2,0.9514845374279423
CAMK4,-1.4828738388433755
CAMKK1,8.53839044766552
CAMKMT,-10.413738172149474
CAMKV,-1.3176220087416046
CAMSAP3,4.735442009228325
CAMTA2,5.765906851690038
CAND2,5.707108670248032
CANX,-1.026321515935406
CAP1,-8.594325385708387
CAP2,1.8155885617710255
CAPG,-6.97297178256491
CAPN1,3.981919412922396
CAPN12,-0.6989096004989526
CAPNS1,7.1255532360484315
CAPRIN1,5.570204140851789
CAPRIN2,-6.619173612898869
CAPZB,-5.676756870466122
CARD6,-8.4484004602061
CARHSP1,-2.5932346918559603
CARMIL2,2.124219633139494
CARMIL3,-5.399342117245796
CARS,5.509061977184052
CARTPT,-1.902673481298914
CASC15,6.349005239743136
CASC2,-9.37556306002608
CASK,-8.26773827328993
CASP10,-8.805132493852442
CASQ1,12.406296101713522
CASTOR1,-7.456555125077274
CAV2,-4.32050876338621
CAVIN3,-3.799578817966469
CBFA2T3,0.2291487162640763
CBFB,-5.6258526407660145
CBLB,-5.53955336421916
CBLN1,-3.1634103271094385
CBLN2,8.652589634066842
CBLN4,3.2310612559393643
CBX6,6.564813108602732
CBX7,8.677299186510346
CC2D2B,-7.374597164001259
CCBE1,-3.6462357878545824
CCDC112,-9.149310952842459
CCDC12,5.959664052401857
CCDC120,-1.462185239923071
CCDC124,5.932531639219196
CCDC14,2.8060347798929706
CCDC148,-3.772897447071148
CCDC15,-6.181842212797928
CCDC152,-7.17188402300558
CCDC153,-5.35935218826425
CCDC159,-7.055980602935131
CCDC167,1.4868861885565103
CCDC171,-2.7226697867175687
CCDC177,7.663804509037743
CCDC189,-1.720002381413579
CCDC191,-9.914747085919574
CCDC24,4.263278869957407
CCDC28A,-1.2059182501914871
CCDC3,4.670435084563861
CCDC32,1.8509502586640216
CCDC34,4.920395915803407
CCDC47,3.2793516497999575
CCDC50,-6.34179486181837
CCDC6,-2.0118462321991792
CCDC65,-3.8207236415685557
CCDC68,2.1058436370148423
CCDC71L,0.47542128507059567
CCDC77,-9.448414652999563
CCDC8,-7.551773221552463
CCDC80,-8.248027159014462
CCDC82,5.092403635781512
CCDC85A,4.4971727175110505
CCDC85C,-10.198627378044892
CCDC88A,-5.929283245359396
CCDC88B,-3.7536716825834415
CCDC9,4.513747360598762
CCDC90B,-6.911279260392588
CCDC92,2.124906113732066
CCEPR,-2.9908871799233094
CCK,9.213571947944535
CCKBR,14.353758608075767
CCL2,-6.477104485402766
CCL28,3.765896595224546
CCM2,4.773193198861742
CCNA1,0.09795198393099044
CCNB3,-4.9855367932271655
