"voxel","diagnosis_beta"
518,0.884435882568172
519,1.00231564950357
520,1.125273165275
521,1.16686011075444
522,1.08763532322363
523,0.917042012890962
524,0.71566852381386
525,0.524456958986764
526,0.350740874887925
527,0.177205766264223
528,-0.030730898517075
529,-0.759388227769732
530,-0.204932069558399
531,0.349901974081325
532,0.781240613591636
533,1.00162524603692
534,1.01028123086244
535,0.880638604574886
536,0.722762074077519
537,0.655162423734955
538,0.753232452586763
539,0.985211967226091
540,1.2234174818107
541,1.34182599551848
542,1.30146691417312
543,1.14905585573637
544,0.949567000130078
545,0.732851527116306
546,0.498970016597788
547,0.240377787096631
548,-0.0564034303317953
549,-0.439870331962373
550,0.127545003364059
551,0.636107766864438
552,0.994484448581421
553,1.14290671184244
554,1.08377906258046
555,0.883564339027632
556,0.665153702893123
557,0.581040380435666
558,0.72297562965947
559,1.03113693121488
560,1.33154100470826
561,1.47904027634088
562,1.45007475804823
563,1.30907188252606
564,1.11484802087026
565,0.87521807233306
566,0.578741721000041
567,0.230847793972738
568,-0.13927980604977
569,0.427182342932925
570,0.877714001527347
571,1.16768201170486
572,1.27194223250395
573,1.18982691704101
574,0.964871441143244
575,0.713615410758666
576,0.605961607694654
577,0.746607848712433
578,1.06590821848429
579,1.37256962499157
580,1.5193078558198
581,1.49314751281588
582,1.36136994093226
583,1.16867627945409
584,0.903955219653645
585,0.550514927180059
586,0.129552942151965
587,0.0651587721064414
588,0.625938868894746
589,1.03139826849336
590,1.28084559006005
591,1.37579171490055
592,1.30370132829141
593,1.07896270347677
594,0.804470320417059
595,0.656419514628524
596,0.750699330699345
597,1.02812251152551
598,1.30834250604946
599,1.45135537243337
600,1.43929235215383
601,1.32213353299221
602,1.12615907828244
603,0.832473713448524
604,0.430565746176024
605,-0.0406866350596072
606,0.125030875747706
607,0.678318534581413
608,1.06592580839076
609,1.31402340373648
610,1.43184921317591
611,1.38834960620969
612,1.17557937019244
613,0.887748527513688
614,0.699985566222116
615,0.731475558681695
616,0.940103100750432
617,1.17348540100324
618,1.30822494536005
619,1.31574230679259
620,1.21830390592306
621,1.02165138625256
622,0.70569734509023
623,0.271901394950244
624,-0.59698810241981
625,0.0592023195937823
626,0.602801838555245
627,0.996826794440963
628,1.27251099505468
629,1.43088973745058
630,1.4262736319532
631,1.24338462965409
632,0.972059919002578
633,0.773608705955004
634,0.753715025929148
635,0.880876811382107
636,1.03858701941221
637,1.13416972078331
638,1.13927846289896
639,1.05329968236087
640,0.862131133463653
641,0.543621053007029
642,0.107248758514854
643,-0.684700100869745
644,-0.0671004507264218
645,0.463771388699596
646,0.872553623813907
647,1.18000518529055
648,1.37763685071733
649,1.4208838578367
650,1.29966586590275
651,1.09144431474909
652,0.922033898859436
653,0.86577175528787
654,0.896961412462672
655,0.941829627232003
656,0.951723352799798
657,0.913662626918064
658,0.816437789987687
659,0.63219793470779
660,0.334939352620064
661,-0.762226503029994
662,-0.189951850941067
663,0.322649444613499
664,0.735659245236111
665,1.05689077028127
666,1.28037380499526
667,1.37957346711381
668,1.35036723642409
669,1.23929440990705
670,1.11669554296824
671,1.02066129590265
672,0.939521235918662
673,0.849372119710773
674,0.747000510320508
675,0.637729436369956
676,0.508995164391805
677,0.329712256992414
