AMT,,,,,,,,,,,,,,,,,,
AMTN,,,,,,,,,,,,,,,,,,
AMY1A,,,,,,,,,,,,,,,,,,
AMY1B,,,,,,,,,,,,,,,,,,
AMY1C,,,,,,,,,,,,,,,,,,
AMY2A,,,,,,,,,,,,,,,,,,
ANAPC1,,,,,,,,,,,,,,,,,,
ANAPC10,,,,,,,,,,,,,,,,,,
ANAPC11,,,,,,,,,,,,,,,,,,
ANAPC13,,,,,,,,,,,,,,,,,,
ANAPC15,,,,,,,,,,,,,,,,,,
ANAPC16,,,,,,,,,,,,,,,,,,
ANAPC2,,,,,,,,,,,,,,,,,,
ANAPC4,,,,,,,,,,,,,,,,,,
ANAPC5,,,,,,,,,,,,,,,,,,
ANAPC7,,,,,,,,,,,,,,,,,,
ANG,,,,,,,,,,,,,,,,,,
ANGEL1,,,,,,,,,,,,,,,,,,
ANGEL2,,,,,,,,,,,,,,,,,,
ANGPT1,,,,,,,,,,,,,,,,,,
ANGPT2,,,,,,,,,,,,,,,,,,
ANGPT4,,,,,,,,,,,,,,,,,,
ANGPTL1,,,,,UNQ162/PRO188,,,,,,,,,,,,,
ANGPTL3,,,,,,,,,,,,,,,,,,
ANGPTL4,,,,,PSEC0166,UNQ171/PRO197,,,,,,,,,,,,
ANGPTL7,,,,,,,,,,,,,,,,,,
ANGPTL8,,,,,,,,,,,,,,,,,,
ANK1,,,,,,,,,,,,,,,,,,
ANK2,,,,,,,,,,,,,,,,,,
ANK3,,,,,,,,,,,,,,,,,,
ANKFY1,,,,,,,,,,,,,,,,,,
ANKH,,,,,,,,,,,,,,,,,,
ANKK1,,,,,,,,,,,,,,,,,,
ANKLE1,,,,,,,,,,,,,,,,,,
ANKLE2,,,,,,,,,,,,,,,,,,
ANKRA2,,,,,,,,,,,,,,,,,,
ANKRD1,,,,,,,,,,,,,,,,,,
ANKRD10,,,,,,,,,,,,,,,,,,
ANKRD11,,,,,,,,,,,,,,,,,,
ANKRD12,,,,,,,,,,,,,,,,,,
ANKRD13A,,,,,,,,,,,,,,,,,,
ANKRD13B,,,,,,,,,,,,,,,,,,
ANKRD13C,,,,,,,,,,,,,,,,,,
ANKRD13D,,,,,,,,,,,,,,,,,,
ANKRD17,,,,,,,,,,,,,,,,,,
ANKRD2,,,,,,,,,,,,,,,,,,
ANKRD20A1,,,,,,,,,,,,,,,,,,
ANKRD23,,,,,,,,,,,,,,,,,,
ANKRD26,,,,,,,,,,,,,,,,,,
ANKRD27,,,,,,,,,,,,,,,,,,
ANKRD37,,,,,,,,,,,,,,,,,,
ANKRD45,,,,,,,,,,,,,,,,,,
ANKRD49,,,,,,,,,,,,,,,,,,
ANKRD53,,,,,,,,,,,,,,,,,,
ANKRD6,,,,,,,,,,,,,,,,,,
ANKRD61,,,,,,,,,,,,,,,,,,
ANKRD7,,,,,,,,,,,,,,,,,,
ANKRD9,,,,,,,,,,,,,,,,,,
ANKS1A,,,,,,,,,,,,,,,,,,
ANKS1B,,,,,,,,,,,,,,,,,,
ANKS4B,,,,,,,,,,,,,,,,,,
ANKZF1,,,,,,,,,,,,,,,,,,
ANLN,,,,,,,,,,,,,,,,,,
ANO1,,,,,,,,,,,,,,,,,,
ANO10,,,,,,,,,,,,,,,,,,
ANO2,,,,,,,,,,,,,,,,,,
ANO3,,,,,,,,,,,,,,,,,,
ANO4,,,,,,,,,,,,,,,,,,
ANO5,,,,,,,,,,,,,,,,,,
ANO6,,,,,,,,,,,,,,,,,,
ANO7,,,,,,,,,,,,,,,,,,
ANO8,,,,,,,,,,,,,,,,,,
ANO9,,,,,,,,,,,,,,,,,,
ANP32A,,,,,,,,,,,,,,,,,,
ANP32B,,,,,,,,,,,,,,,,,,
ANP32E,,,,,,,,,,,,,,,,,,
ANPEP,,,,,,,,,,,,,,,,,,
ANTKMT,,,,,,,,,,,,,,,,,,
ANTXR1,,,,,,,,,,,,,,,,,,
ANXA1,,,,,,,,,,,,,,,,,,
ANXA11,,,,,,,,,,,,,,,,,,
ANXA13,,,,,,,,,,,,,,,,,,
ANXA2,,,,,,,,,,,,,,,,,,
ANXA3,,,,,,,,,,,,,,,,,,
ANXA4,,,,,,,,,,,,,,,,,,
ANXA5,,,,,,,,,,,,,,,,,,
ANXA6,,,,,,,,,,,,,,,,,,
ANXA7,,,,,,,,,,,,,,,,,,
ANXA8,,,,,,,,,,,,,,,,,,
ANXA9,,,,,,,,,,,,,,,,,,
AOAH,,,,,,,,,,,,,,,,,,
AOC1,,,,,,,,,,,,,,,,,,
AOC3,,,,,,,,,,,,,,,,,,
AOX1,,,,,,,,,,,,,,,,,,
AP1AR,,,,,,,,,,,,,,,,,,
AP1B1,,,,,,,,,,,,,,,,,,
